r,U_00,U_01,U_11,hs_00,hs_01,hs_11,lj_00,lj_01,lj_11,coulomb_00,coulomb_01,coulomb_11
1.12,-0.10696697007058398,-1.3434238323695749,inf,0.0,0.0,inf,-0.9998241129277268,-0.4505666895124321,4.654490937173961,0.8928571428571428,-0.8928571428571428,0.8928571428571428
1.1300000000000001,-0.11349480633801046,-1.5064386527271987,inf,0.0,0.0,inf,-0.9984505585503998,-0.6214829005148094,3.736640590621167,0.8849557522123893,-0.8849557522123893,0.8849557522123893
1.1400000000000001,-0.11491679855737447,-1.6399150157053,inf,0.0,0.0,inf,-0.9921097810135148,-0.7627220332491597,2.941461985331414,0.8771929824561403,-0.8771929824561403,0.8771929824561403
1.1500000000000001,-0.11211656550825722,-1.7479522596447385,inf,0.0,0.0,inf,-0.9816817828995614,-0.8783870422534343,2.2533578484672474,0.8695652173913042,-0.8695652173913042,0.8695652173913042
1.16,-0.10584867548653476,-1.8340995871550048,inf,0.0,0.0,inf,-0.9679176410037762,-0.9720306216377634,1.6587458235321413,0.8620689655172414,-0.8620689655172414,0.8620689655172414
1.17,-0.09675700182001579,-1.9014311695320758,inf,0.0,0.0,inf,-0.9514578565208706,-1.046730314831221,1.1457887387274486,0.8547008547008548,-0.8547008547008548,0.8547008547008548
1.18,-0.08539042872259517,-1.9526106502337206,inf,0.0,0.0,inf,-0.9328480558412393,-1.1051530231150763,0.7041625273448728,0.8474576271186441,-0.8474576271186441,0.8474576271186441
1.19,-0.07221630147652125,-1.989946602966203,inf,0.0,0.0,inf,-0.9125524359303028,-1.1496104685124213,0.32485631208577725,0.8403361344537815,-0.8403361344537815,0.8403361344537815
1.2,-0.05763195424974277,-2.0154402623180103,0.8333333333333334,0.0,0.0,0.0,-0.8909652875830761,-1.182106928984677,0.0,0.8333333333333334,-0.8333333333333334,0.8333333333333334
1.21,-0.04197459787060931,-2.030826645029938,0.5491617181952816,0.0,0.0,0.0,-0.8684208788623449,-1.2043803640382025,-0.27728456279645397,0.8264462809917356,-0.8264462809917356,0.8264462809917356
1.22,-0.025529806987282466,-2.03761001167523,0.30665989564024687,0.0,0.0,0.0,-0.8452019381348235,-1.217937880527689,-0.5130122355072941,0.819672131147541,-0.819672131147541,0.819672131147541
1.23,-0.008538809902354005,-2.0370944765677574,0.10056224459012197,0.0,0.0,0.0,-0.8215469399836548,-1.2240863464864564,-0.7124458854911788,0.8130081300813008,-0.8130081300813008,0.8130081300813008
1.24,0.00879524611001592,-2.0304104538299113,-0.07374117386187573,0.0,0.0,0.0,-0.79765636679321,-1.2239588409266853,-0.8801927867651016,0.8064516129032259,-0.8064516129032259,0.8064516129032259
1.25,0.02630190694399981,-2.018537526169194,-0.22028819419739665,0.0,0.0,0.0,-0.7736980930560002,-1.2185375261691935,-1.0202881941973967,0.8,-0.8,0.8
1.26,0.0438387759721538,-2.0023242370656336,-0.3426170771036158,0.0,0.0,0.0,-0.7498120176786398,-1.20867344341484,-1.1362678707544094,0.7936507936507936,-0.7936507936507936,0.7936507936507936
1.27,0.06128752367466317,-1.9825052342874272,-0.4438295135805721,0.0,0.0,0.0,-0.7261140511284864,-1.1951036594842777,-1.2312310883837216,0.7874015748031495,-0.7874015748031495,0.7874015748031495
1.28,0.07855045136532868,-1.95971613086461,-0.526645404978332,0.0,0.0,0.0,-0.7026995486346713,-1.17846613086461,-1.307895404978332,0.78125,-0.78125,0.78125
1.29,0.09554753105591995,-1.9345063971339735,-0.593450535871178,0.0,0.0,0.0,-0.6796462673936924,-1.159312598684361,-1.3686443343207904,0.7751937984496123,-0.7751937984496123,0.7751937984496123
1.3,0.1122138547707221,-1.9073505527778263,-0.6463380986577167,0.0,0.0,0.0,-0.6570169144600471,-1.1381197835470571,-1.415568867888486,0.7692307692307692,-0.7692307692307692,0.7692307692307692
1.31,0.12849743620981013,-1.8786578897033124,-0.6871448940370397,0.0,0.0,0.0,-0.634861342416144,-1.1152991110773582,-1.4505036726629938,0.7633587786259541,-0.7633587786259541,0.7633587786259541
1.32,0.14435731582313927,-1.8487809241310622,-0.7174829164847665,0.0,0.0,0.0,-0.6132184417526183,-1.0912051665553046,-1.475058674060524,0.7575757575757576,-0.7575757575757576,0.7575757575757576
1.33,0.15976192731662364,-1.818022748527428,-0.7387669355394764,0.0,0.0,0.0,-0.5921177719314966,-1.0661430492793078,-1.4906466347875966,0.7518796992481203,-0.7518796992481203,0.7518796992481203
1.34,0.1746876895498144,-1.7866434303041343,-0.7522385995842735,0.0,0.0,0.0,-0.5715809671666034,-1.0403747735877165,-1.4985072563006914,0.7462686567164178,-0.7462686567164178,0.7462686567164178
1.35,0.18911779285743735,-1.754865583916847,-0.7589875167409086,0.0,0.0,0.0,-0.5516229478833033,-1.0141248431761063,-1.4997282574816493,0.7407407407407407,-0.7407407407407407,0.7407407407407407
1.36,0.20304115316437876,-1.7228792256084673,-0.7599697056876599,0.0,0.0,0.0,-0.53225296448268,-0.9875851079614085,-1.4952638233347186,0.7352941176470588,-0.7352941176470588,0.7352941176470588
